,entry_title,hash_id,link,published,updated,guid,original_string,movie_title,release_year,resolution,upload_format,audio_format,encoding,uploader
24,Sweet Bobby: My Catfish Nightmare (2024) [1080p] [WEBRip] [5.1] [YTS.MX],C1727B5C23D29749A7555B06E27AE48CE0D36C82,https://yts.mx/movies/sweet-bobby-my-catfish-nightmare-2024,"Wed, 16 Oct 2024 10:21:29 +0200","Wed, 16 Oct 2024 10:21:29 +0200",https://yts.mx/movies/sweet-bobby-my-catfish-nightmare-2024#1080p,Sweet Bobby: My Catfish Nightmare (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Sweet Bobby: My Catfish Nightmare,2024,1080p,WEBRip,5.1,,YTS.MX
25,Bheema (2024) [720p] [WEBRip] [YTS.MX],09503E5EDF446B6A02A3128B4BE7D7AF46E6D48F,https://yts.mx/movies/bheema-2024,"Mon, 14 Oct 2024 13:49:45 +0200","Mon, 14 Oct 2024 13:49:45 +0200",https://yts.mx/movies/bheema-2024#720p,Bheema (2024) [720p] [WEBRip] [YTS.MX],Bheema,2024,720p,WEBRip,,,YTS.MX
26,Bheema (2024) [1080p] [WEBRip] [5.1] [YTS.MX],1B2D9B0CD5C40D457498094CD6C701E28C9CBF6C,https://yts.mx/movies/bheema-2024,"Mon, 14 Oct 2024 15:16:57 +0200","Mon, 14 Oct 2024 15:16:57 +0200",https://yts.mx/movies/bheema-2024#1080p,Bheema (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Bheema,2024,1080p,WEBRip,5.1,,YTS.MX
27,Bheema (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],D345D03242F54B9075292B3D86DC48B3A07F6265,https://yts.mx/movies/bheema-2024,"Wed, 16 Oct 2024 04:34:27 +0200","Wed, 16 Oct 2024 04:34:27 +0200",https://yts.mx/movies/bheema-2024#1080p,Bheema (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Bheema,2024,1080p,WEBRip,10bit,x265,YTS.MX
28,Dynasty (2009) [720p] [WEBRip] [YTS.MX],1254AA725606A5D959E548637E5DA602035B83B1,https://yts.mx/movies/dynasty-2009,"Wed, 16 Oct 2024 02:36:30 +0200","Wed, 16 Oct 2024 02:36:30 +0200",https://yts.mx/movies/dynasty-2009#720p,Dynasty (2009) [720p] [WEBRip] [YTS.MX],Dynasty,2009,720p,WEBRip,,,YTS.MX
29,Dynasty (2009) [1080p] [WEBRip] [YTS.MX],9122C13FF56DD9649774FCA2A2FA73A824FA80E5,https://yts.mx/movies/dynasty-2009,"Wed, 16 Oct 2024 03:50:18 +0200","Wed, 16 Oct 2024 03:50:18 +0200",https://yts.mx/movies/dynasty-2009#1080p,Dynasty (2009) [1080p] [WEBRip] [YTS.MX],Dynasty,2009,1080p,WEBRip,,,YTS.MX
30,Endless Winter (1995) [720p] [WEBRip] [YTS.MX],5ADFB18F86BFC71C54C1A5C2AD0BD11D7959AE31,https://yts.mx/movies/endless-winter-1995,"Wed, 16 Oct 2024 01:33:11 +0200","Wed, 16 Oct 2024 01:33:11 +0200",https://yts.mx/movies/endless-winter-1995#720p,Endless Winter (1995) [720p] [WEBRip] [YTS.MX],Endless Winter,1995,720p,WEBRip,,,YTS.MX
31,Endless Winter (1995) [1080p] [WEBRip] [YTS.MX],8C3F04799F5AC4B40FC12800EE7BA2651642F4BC,https://yts.mx/movies/endless-winter-1995,"Wed, 16 Oct 2024 02:50:48 +0200","Wed, 16 Oct 2024 02:50:48 +0200",https://yts.mx/movies/endless-winter-1995#1080p,Endless Winter (1995) [1080p] [WEBRip] [YTS.MX],Endless Winter,1995,1080p,WEBRip,,,YTS.MX
32,Halloweentown (1998) [720p] [BluRay] [YTS.MX],A668CFB579AF1CB8059F8642B66C674CEB54DFA9,https://yts.mx/movies/halloweentown-1998,"Wed, 16 Oct 2024 01:21:16 +0200","Wed, 16 Oct 2024 01:21:16 +0200",https://yts.mx/movies/halloweentown-1998#720p,Halloweentown (1998) [720p] [BluRay] [YTS.MX],Halloweentown,1998,720p,BluRay,,,YTS.MX
33,Halloweentown (1998) [1080p] [BluRay] [5.1] [YTS.MX],125917569D3FF3ACC9B6373143BFD40EC968B8F3,https://yts.mx/movies/halloweentown-1998,"Wed, 16 Oct 2024 02:19:17 +0200","Wed, 16 Oct 2024 02:19:17 +0200",https://yts.mx/movies/halloweentown-1998#1080p,Halloweentown (1998) [1080p] [BluRay] [5.1] [YTS.MX],Halloweentown,1998,1080p,BluRay,5.1,,YTS.MX
34,Halloweentown (1998) [720p] [WEBRip] [5.1] [YTS.MX],023C96306218E6E2C9C5672CDDCF6E29DB99D36D,https://yts.mx/movies/halloweentown-1998,"Wed, 02 Dec 2020 01:44:49 +0100","Wed, 02 Dec 2020 01:44:49 +0100",https://yts.mx/movies/halloweentown-1998#720p,Halloweentown (1998) [720p] [WEBRip] [5.1] [YTS.MX],Halloweentown,1998,720p,WEBRip,5.1,,YTS.MX
35,Halloweentown (1998) [1080p] [WEBRip] [5.1] [YTS.MX],DD6893DBED057C66E43E7E41A759FC012A64F0F7,https://yts.mx/movies/halloweentown-1998,"Wed, 02 Dec 2020 03:02:15 +0100","Wed, 02 Dec 2020 03:02:15 +0100",https://yts.mx/movies/halloweentown-1998#1080p,Halloweentown (1998) [1080p] [WEBRip] [5.1] [YTS.MX],Halloweentown,1998,1080p,WEBRip,5.1,,YTS.MX
36,Borderlands (2024) [720p] [BluRay] [YTS.MX],0F3675B061F577D1DEEF8EF5399E27610907611A,https://yts.mx/movies/borderlands-2024,"Wed, 16 Oct 2024 00:53:41 +0200","Wed, 16 Oct 2024 00:53:41 +0200",https://yts.mx/movies/borderlands-2024#720p,Borderlands (2024) [720p] [BluRay] [YTS.MX],Borderlands,2024,720p,BluRay,,,YTS.MX
37,Borderlands (2024) [1080p] [BluRay] [5.1] [YTS.MX],231251E6FFC1B018656FBFCA14051E734C272C4F,https://yts.mx/movies/borderlands-2024,"Wed, 16 Oct 2024 01:55:12 +0200","Wed, 16 Oct 2024 01:55:12 +0200",https://yts.mx/movies/borderlands-2024#1080p,Borderlands (2024) [1080p] [BluRay] [5.1] [YTS.MX],Borderlands,2024,1080p,BluRay,5.1,,YTS.MX
38,Borderlands (2024) [720p] [WEBRip] [5.1] [YTS.MX],9FA53BF1EBD87C9688DEDE2078CAF69979B2B015,https://yts.mx/movies/borderlands-2024,"Fri, 30 Aug 2024 08:55:38 +0200","Fri, 30 Aug 2024 08:55:38 +0200",https://yts.mx/movies/borderlands-2024#720p,Borderlands (2024) [720p] [WEBRip] [5.1] [YTS.MX],Borderlands,2024,720p,WEBRip,5.1,,YTS.MX
39,Borderlands (2024) [1080p] [WEBRip] [5.1] [YTS.MX],4238AC2AB9C2DE7E3C6BF216BFEEA60713F2094C,https://yts.mx/movies/borderlands-2024,"Fri, 30 Aug 2024 09:56:13 +0200","Fri, 30 Aug 2024 09:56:13 +0200",https://yts.mx/movies/borderlands-2024#1080p,Borderlands (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Borderlands,2024,1080p,WEBRip,5.1,,YTS.MX
40,Borderlands (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],8A5A8DDB0A855F8EDB258F04B327C007BC1EAB0B,https://yts.mx/movies/borderlands-2024,"Fri, 30 Aug 2024 22:41:15 +0200","Fri, 30 Aug 2024 22:41:15 +0200",https://yts.mx/movies/borderlands-2024#1080p,Borderlands (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Borderlands,2024,1080p,WEBRip,10bit,x265,YTS.MX
41,Borderlands (2024) [2160p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],2D912C54AD1A27DCC76FDE7D0F8E9D81D1AEE9DA,https://yts.mx/movies/borderlands-2024,"Tue, 03 Sep 2024 04:14:42 +0200","Tue, 03 Sep 2024 04:14:42 +0200",https://yts.mx/movies/borderlands-2024#2160p,Borderlands (2024) [2160p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Borderlands,2024,2160p,WEBRip,10bit,x265,YTS.MX
